What are the two stated learning outcomes of Lecture 9?	Define the components of a problem statement, and frame system-level problems using systems thinking tools to identify problem statements addressing one or multiple aspects of the problem space.
How long should problem analysis take at the start of Systems Week?	The first couple of days - you must understand the problem before thinking about solutions.
What is the named failure mode for Systems Week teams?	Rushing to problem statements on day one, reaching the solution phase and financial analysis by Monday evening, then realising on Wednesday it is not a problem they can affect and going back to the beginning.
Is revisiting your problem statement a sign of failure?	No - iterating is a good and natural part of working on this level of problem; what matters is understanding the system before building solutions on it.
Quote David Gurteen on complex challenges.	There are no solutions to complex challenges, only an endless series of adaptive responses.
Name the four stages of the double diamond as used in Lecture 9.	Discover, define, develop, deliver.
How do the five whys connect to causal loops?	The five whys reveal the variables that drive system behaviour; the causal loop connects those variables to find feedback loops and leverage points.
What are mind maps good at?	Identifying all the different variables that may come into play in a problem.
What can a mind map not show?	The interconnectedness of the variables - how they relate, and what happens elsewhere if you increase one.
Give the one-line contrast between a mind map and a causal loop.	A mind map is an inventory; a causal loop is a model.
What do variables or nodes represent in a causal loop diagram?	The key factors within a system.
What do arrows show in a causal loop diagram?	Cause and effect.
What does a plus sign on a causal loop arrow mean?	The two variables move in the same direction.
What does a minus sign on a causal loop arrow mean?	The two variables move in opposite directions.
Does a plus sign mean a variable is increasing?	No - it refers to polarity, the direction of change between two nodes. Two variables falling together also take a plus.
What does a reinforcing loop do?	Amplifies change.
What does a balancing loop do?	Counteracts change.
State the parity rule for classifying a feedback loop.	An even number of minus signs, including zero, gives a reinforcing loop; an odd number gives a balancing loop.
Why does an even number of negatives create a reinforcing loop?	Because two negatives flip you one way and then flip you back, restoring the original direction.
Was the parity rule on the slides?	No - the lecturer noted it was missing from the deck; it exists only in the transcript.
Give the gym example of reinforcing versus balancing.	Eating McDonald's nightly with no exercise is reinforcing - weight keeps climbing. Adding the gym burns calories and counteracts the change, balancing back toward equilibrium.
How should causal loop nodes be named?	Neutrally - bioplastics rather than increasing bioplastics, because the arrow carries the direction.
Why must node names be specific?	Because you cannot sign a cause-and-effect arrow between two vague nodes - waste could mean production waste or retail waste, utilities could mean fuel.
Give an example of vague node naming to avoid.	Terms like condition, wages, waste or utilities without specifying which.
Recite the five steps of causal loop analysis.	Identify variables; determine relationships between them; identify feedback loops that explain why the problem persists; identify leverage points; develop a systems problem statement.
What is step three of causal loop analysis specifically for?	Identifying the feedback loops that explain why the problem persists - not just any loops.
What are you actually doing when you build a causal loop?	Mapping the system behaviour, which lets you identify where you can make the greatest change.
Define a leverage point.	A place in a system where a small change can create a disproportionately large change throughout the entire system.
What three properties should a candidate leverage point have?	It is highly connected across multiple feedback loops, it affects many other variables, and it can realistically be changed through an intervention.
Which leverage point property eliminates the most candidates?	Whether it can realistically be changed - a hub variable you cannot move is not a leverage point.
State the proximity trade-off for leverage points.	The closer the leverage point is to the system itself, the smaller the impact but the easier it is to design and implement.
