Who delivered ENGGEN403 Lecture 12?	Simon Mace of City Rail Link and Simon Fenton of AECOM, the Link Alliance Construction Phase Services manager.
What is the length of the City Rail Link tunnels?	3.45 km of twin underground tunnels.
How many stations does CRL involve, and what is the total project cost?	Four new and upgraded stations, at a total project cost of .5 billion NZD.
What capacity does CRL unlock?	It doubles Auckland's rail capacity to 54,000 passengers per hour at peak.
How deep is CRL at its deepest point?	45 metres below the city.
What is CRL's asset life, and what has been future-proofed?	A 100-year asset life, future-proofed to run nine-car trains - 50% longer than the current 3- and 6-car trains.
When was CRL first proposed and when did construction start?	It was nominated over 100 years ago and construction started about a decade ago.
Why is CRL's maximum gradient 3.5% rather than the network's 2.5%?	Because stations must be perfectly flat, so the flat sections force the intervening track to be steeper to cover the topography from Waitemata up to Maungawhau.
What is unusual about the turnouts at Maungawhau?	They are underground, which is something you would never normally do, but the layout forced it - a unique arrangement in New Zealand.
Which CRL benefit is a network effect rather than a direct effect?	Doubling the number of people living within a 30-minute public transport commute of the city centre - the value comes from the connection, not the asset.
What social legacy did CRL claim?	The upskilling of workers who worked on the project, with up to 2,000 people employed on site during construction.
Which CRL contract was by far the largest?	Contract three, the Link Alliance works covering stations, tunnels and rail systems.
Why was the timing of the Commercial Bay tunnels critical?	It was the one opportunity to use the route up to Albert Street - if the tunnels had not been built while the tower was being built, they could never have been added later.
How were tunnels built under the heritage Chief Post Office?	The building was supported on a temporary structure, the tunnels were excavated and built underneath, then the building was lowered back onto the new support.
What do the CRL station names reflect?	The cultural narrative of the areas they serve, mirrored in the architectural design, with the Maori creation story depicted in the stations.
What does the name Te Waihorotiu relate to?	The stream which still runs underneath Queen Street.
What is notable about the name Karanga-a-Hape?	It is a grammatical correction of Karangahape as commonly written.
Define an alliance contract.	A relationship-style arrangement bringing together the client, contractor and consultant team to deliver the project, sharing all the risks and all the rewards.
How does an alliance differ from a design and construct contract?	In D&C the constructor goes away, provides a lump sum and must deliver within that budget; in an alliance risk and reward are shared across client, contractor and consultants.
Who made up the Link Alliance?	City Rail Link as client, constructors Vinci Grands Projets, Downer and Soletanche Bachy, and consultants Tonkin and Taylor, AECOM and WSP.
Which named sub-consultants worked on CRL?	Grimshaw as architects and Jacobs on earthing and bonding specialisms.
What did Simon Mace find when he revisited the 2015 CRL business case?	The strategic case objectives were the same objectives being delivered eleven years later - the case for change held even though costs moved.
Name the five Better Business Cases as the CRL speaker described them.	Strategic - why would you do it; economic - identifying the best value option; commercial - how it would be delivered; financial - benefits, costs and BCR; management - how you would manage and deliver it.
What are wider economic benefits?	Additional economic output created because businesses can recruit better staff, workers have more opportunities, and businesses become more productive.
What is preliminary engineering design for?	Enough engineering design to inform a cost estimate.
