What distinguishes a real-world problem from an assessment problem?	It has not been framed for you, and it is not guaranteed to have a solution.
In the T-shaped model, what does the vertical stroke represent?	Depth of knowledge in at least one discipline.
In the T-shaped model, what does the horizontal stroke represent?	Breadth about innovation that lets you work effectively with professionals of other disciplines to bring ideas to life.
Is a person with broad knowledge but no deep discipline T-shaped?	No. The vertical stroke is mandatory; breadth alone is a dash, not a T.
Who is quoted arguing that teaching engineering fundamentals is "not enough"?	Richard Miller, US National Academy of Engineering.
According to Richard Miller, what will doubling down on more hard sciences and maths achieve?	It will not help. Grand Challenges need engineering expertise but won't be solved by engineers alone.
What two things does Miller say engineering education must add?	Both a skillset and a mindset.
Which accord makes T-shape skills part of professional engineer sign-off in New Zealand?	The Washington Accord, via Engineering New Zealand.
Who developed the fixed/growth mindset framework?	Carol Dweck.
Define a fixed mindset.	The belief that your abilities are innate and unchangeable.
Define a growth mindset.	The belief that ability is something you can improve through practice.
Are fixed and growth mindsets two categories of person?	No. They exist on a continuum, and you sit at different points for different skills.
Under a fixed mindset, how is failure viewed?	As permanent.
Under a growth mindset, how is failure viewed?	As a chance to learn and even to pivot.
Under a fixed mindset, how is critical feedback received?	As a personal attack.
Under a growth mindset, how is critical feedback received?	As a chance to improve and develop new systems.
How does mindset affect task choice?	Fixed chooses easier tasks with minimal effort; growth embraces challenging tasks and works hard to improve.
How does mindset affect response to obstacles?	Fixed is likely to give up; growth treats obstacles as a chance to experiment and problem-solve.
What is the focus under a fixed vs growth mindset?	Fixed focuses on measurable accomplishments; growth focuses on a journey of continual improvement.
How does mindset affect creative risk-taking?	Fixed is less likely to take creative risks; growth treats them as a way to innovate and improve.
Why is the fixed mindset internally consistent?	If talent is fixed, effort is pointless: "why bother improving? Why even try?"
What is the biological basis offered for growth mindset?	Neuroplasticity: learning new things builds new neural pathways, especially as you get older.
What everyday example of neuroplasticity was given?	Slow recovery after a stroke, though the same process runs in healthy brains all the time.
What example was given of a real limit on growth mindset?	Buying figure skates at 14 and never becoming a figure skater, because of a physical ceiling.
Define grit.	Passion and perseverance for your goals, over a sustained period of time.
Which clause separates grit from ordinary motivation?	"Over a sustained period of time."
Who is grit associated with?	Angela Duckworth, author of the book Grit.
Name grit's four pillars.	Passion/interest, deliberate practice, sense of purpose, sense of hope.
What does the passion/interest pillar do?	It makes determination possible: it is very hard to be determined about something you are not interested in.
What does the deliberate practice pillar do?	It covers the fact you won't manage it first time; it supplies patience, resilience and determination to keep going.
What does the sense-of-purpose pillar do?	It carries you through days you don't enjoy, by connecting them to a greater goal.
What does the sense-of-hope pillar do?	It sustains you when the goal looks unachievable, so you may overcome and achieve it anyway.
What is the claimed relationship between talent and grit?	They are unrelated, and possibly inversely related.
What mechanism is proposed for talent reducing grit?	Talented people have always found things easy, so they never learned to fail or built perseverance tools.
Is grit fixed?	No. It is described as something you can really work on.
Where in Systems Week does the hope pillar get tested?	Around Wednesday afternoon, when initial excitement gives way to despair.
What does the marshmallow test measure?	Impulse control, and willingness to strive for a bigger goal by delaying instant gratification.
What is the caveat given about the marshmallow test?	It also predicts people who simply don't like marshmallows; all tests have flaws.
Why is failure argued to be professionally useful?	Thinking about why and when you fail identifies specific weak spots you can then target.
What three-step sequence turns failure into improvement?	Failure, then diagnosis of the specific gap, then targeted effort on that gap.
Why is failing earlier better than failing later?	People who first fail at 45-55 find it much harder than those who set ambitious goals, failed earlier, and bounced back.
What happens when a task is too easy?	You complete it and learn nothing.
What happens when a task is too hard?	You can't do it, so you also learn nothing.
Where does learning actually occur?	In the discomfort zone: just hard enough, but not too hard.
Is discomfort a cost of learning or a signal?	A signal that you are in the band where growth happens.
What does SMART stand for?	Specific, Measurable, Achievable, Relevant, Time-bound.
What letter does the lecturer propose adding to SMART, and why?	H for Hard, to push you toward stretchy, ambitious goals.
Which two elements of SMART-H pull against each other?	Achievable and Hard.
State the principle "coherence beats cleverness".	A solution gains credibility only when all its parts tell the same story; otherwise decision-makers fixate on inconsistencies.
Which four artefacts must tell the same story?	The strategic case, options analysis, CBA metrics, and rollout plan.
What is the stated corollary to "coherence beats cleverness"?	Evidence is a team sport.
Why isn't communication style a soft extra?	It is an input to the overall system's success; a poor style can create a negative feedback loop.
Who is the T-shaped people quote attributed to?	Prof. Tina Seelig, Executive Director of the Stanford Technology Ventures Program.
What label does the slide put on the T's horizontal bar?	Innovation & Collaboration.
What label does the slide put on the T's vertical stem?	Discipline Knowledge.
State Duckworth's first equation.	Effort x Talent = Skill.
State Duckworth's second equation.	Skill x Effort = Achievement.
What is the significance of effort appearing in both Duckworth equations?	Effort counts twice: it builds the skill and converts that skill into achievement. Talent appears only once.
What reflective question is attached to the Interest pillar?	What question will compel you to stay gritty?
What reflective question is attached to the Purpose pillar?	How can you connect what you do to the well-being of others?
Whose quote anchors the Interest pillar?	Jeff Bezos - if you're not passionate about what you're working on, you won't be able to stick with it.
What question did Duckworth use to stay interested through graduate school?	What makes people successful and why?
Does interest require enjoying every part of the work?	No. Gritty people have chores they don't enjoy, but are captivated by the endeavour as a whole.
What does deliberate practice target, per the Practice pillar?	Your weaknesses, over and over, for hours a day, week after month after year.
What is the stated enemy of grit in the Practice pillar?	Complacency - to be gritty is to resist complacency.
How many people did Duckworth survey for the purpose finding?	Over 16,000 adult Americans.
What correlates with higher scores on the Grit Scale?	Higher scores on purpose - grittier people seek a meaningful, other-centered life.
What kind of hope does grit depend on?	The expectation that our own efforts can improve our future - agency, not general optimism.
What belief does the hope pillar require?	An enduring belief that your skills are malleable and not set in stone.
What exercise is suggested to build the hope pillar?	Recall a time you learned something you thought you never could - driving a car, a new sport, a new software program.
What newspaper headline appears alongside the grit panels?	Do You Keep a Failure Resume? Here's Why You Should Start - failure isn't a roadblock, it's part of the process.
Give three fixed-mindset statements from the slide.	I'm either good at it or I'm not; my potential is predetermined; when I'm frustrated, I give up.
Give three growth-mindset statements from the slide.	Failure is an opportunity to grow; challenges help me to grow; feedback is constructive.
How does each mindset complete the sentence 'Failure is...'?	Growth: an opportunity to grow. Fixed: the limit of my abilities.
What shape is used to depict the ENGGEN 403 course structure?	A honeycomb of twelve hexagonal components.
Which two honeycomb cells are the assessments?	Team Project (the dress rehearsal) and Systems Week.
Which honeycomb cell is not taught in the course?	Technical Know-How - it comes from your degree and experiences.
What does the honeycomb encode by making Technical Know-How the same size as every other tile?	That your discipline is one capability of twelve, not the foundation the others rest on - the T-shape claim drawn.
When does Systems Thinking appear in the course?	Weeks one and three.
In which week is the Team Project, and what is it called?	Week 6, described as the dress rehearsal.
What is the McKinsey Workshop for?	Learning how the pros handle high-pressure projects, in week 7.
On the closing graph, what are the axes?	Success on the y-axis, your career on the x-axis.
On the closing graph, does the fixed-mindset line go up?	Yes - it still rises, just shallowly. Nobody is being told they will fail.
What is the key feature of the closing success graph?	The grit/growth line branches off the fixed line partway along, and the course is positioned at that branch point.
